D:\camer\driving data\IMG\center_2023_04_21_14_26_59_352.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_26_59_352.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_26_59_352.jpg,0,0,0,0.5045287
D:\camer\driving data\IMG\center_2023_04_21_14_26_59_414.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_26_59_414.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_26_59_414.jpg,0,0,0,0.4988079
D:\camer\driving data\IMG\center_2023_04_21_14_26_59_491.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_26_59_491.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_26_59_491.jpg,0,0,0,0.4945473
D:\camer\driving data\IMG\center_2023_04_21_14_26_59_572.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_26_59_572.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_26_59_572.jpg,0,0,0,0.4889066
D:\camer\driving data\IMG\center_2023_04_21_14_26_59_677.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_26_59_677.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_26_59_677.jpg,0,0,0,0.4805303
D:\camer\driving data\IMG\center_2023_04_21_14_26_59_771.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_26_59_771.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_26_59_771.jpg,0,0,0,0.4750021
D:\camer\driving data\IMG\center_2023_04_21_14_26_59_850.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_26_59_850.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_26_59_850.jpg,0,0,0,0.4695184
D:\camer\driving data\IMG\center_2023_04_21_14_26_59_919.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_26_59_919.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_26_59_919.jpg,0,0,0,0.4640788
D:\camer\driving data\IMG\center_2023_04_21_14_26_59_987.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_26_59_987.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_26_59_987.jpg,0,0,0,0.4600277
D:\camer\driving data\IMG\center_2023_04_21_14_27_00_070.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_00_070.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_00_070.jpg,-0.2,0.1484388,0,0.5012151
D:\camer\driving data\IMG\center_2023_04_21_14_27_00_140.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_00_140.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_00_140.jpg,-0.4,0.4046811,0,0.812463
D:\camer\driving data\IMG\center_2023_04_21_14_27_00_207.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_00_207.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_00_207.jpg,-0.5500001,0.6050199,0,1.160524
D:\camer\driving data\IMG\center_2023_04_21_14_27_00_290.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_00_290.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_00_290.jpg,-0.7500002,0.8554677,0,1.887418
D:\camer\driving data\IMG\center_2023_04_21_14_27_00_374.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_00_374.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_00_374.jpg,-1,1,0,2.976319
D:\camer\driving data\IMG\center_2023_04_21_14_27_00_441.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_00_441.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_00_441.jpg,-1,1,0,3.653247
D:\camer\driving data\IMG\center_2023_04_21_14_27_00_527.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_00_527.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_00_527.jpg,-1,1,0,4.553428
D:\camer\driving data\IMG\center_2023_04_21_14_27_00_612.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_00_612.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_00_612.jpg,-1,1,0,5.4452
D:\camer\driving data\IMG\center_2023_04_21_14_27_00_680.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_00_680.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_00_680.jpg,0,1,0,6.28487
D:\camer\driving data\IMG\center_2023_04_21_14_27_00_758.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_00_758.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_00_758.jpg,0,1,0,7.093122
D:\camer\driving data\IMG\center_2023_04_21_14_27_00_829.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_00_829.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_00_829.jpg,0,1,0,7.770397
D:\camer\driving data\IMG\center_2023_04_21_14_27_00_910.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_00_910.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_00_910.jpg,0,1,0,8.674066
D:\camer\driving data\IMG\center_2023_04_21_14_27_00_995.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_00_995.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_00_995.jpg,0,1,0,9.794562
D:\camer\driving data\IMG\center_2023_04_21_14_27_01_084.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_01_084.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_01_084.jpg,0,1,0,10.6831
D:\camer\driving data\IMG\center_2023_04_21_14_27_01_157.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_01_157.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_01_157.jpg,-0.2,1,0,11.6514
D:\camer\driving data\IMG\center_2023_04_21_14_27_01_230.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_01_230.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_01_230.jpg,-0.35,1,0,11.98685
D:\camer\driving data\IMG\center_2023_04_21_14_27_01_307.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_01_307.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_01_307.jpg,0,1,0,12.82905
D:\camer\driving data\IMG\center_2023_04_21_14_27_01_392.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_01_392.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_01_392.jpg,0,1,0,13.72375
D:\camer\driving data\IMG\center_2023_04_21_14_27_01_471.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_01_471.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_01_471.jpg,0,1,0,14.68906
D:\camer\driving data\IMG\center_2023_04_21_14_27_01_552.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_01_552.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_01_552.jpg,0,1,0,15.50437
D:\camer\driving data\IMG\center_2023_04_21_14_27_01_620.jpg,D:\camer\driving data\IMG\left_2023_04_21_14_27_01_620.jpg,D:\camer\driving data\IMG\right_2023_04_21_14_27_01_620.jpg,-0.15,1,0,16.35402
